"","Date","Color","Breed","Sex","State","Name","DateCreated","Year","Month","Day","Wday"
"490",2012-04-07,"Black & White","Border Collie","M/N","Lost","Forrest",2012-04-07,"2012","4",7,"Sat"
"491",2012-04-08,"Black & Grey","Yorkie","M","Lost","Baby",2012-04-08,"2012","4",8,"Sun"
"492",2012-04-09,"Mostly Black With Brown & Whit","Basset Hound","M","Lost","Baxter",2012-04-09,"2012","4",9,"Mon"
"493",2012-04-09,"White/black/brown","Germ. S/haired Pointer","M","Lost","Mo",2012-04-10,"2012","4",9,"Mon"
"494",2012-04-09,"Black & Tan","Miniature Pincher","M/N","Lost","Bruser",2012-04-10,"2012","4",9,"Mon"
"495",2012-04-12,"Salt/pepper","Schnauzer","M","Lost","No Name",2012-04-12,"2012","4",12,"Thurs"
"496",2012-04-12,"Golden","Golden Retr X","M","Lost","Momo",2012-04-12,"2012","4",12,"Thurs"
"497",2012-04-13,"Red Sesame","Shiba Inu","M/N","Lost","Kai",2012-04-13,"2012","4",13,"Fri"
"498",2012-04-13,"White","Med Mix Breed","F/S","Lost","Sprite",2012-04-13,"2012","4",13,"Fri"
"499",2012-04-14,"Black & White","Dsh","M","Lost","Merlin",2012-04-14,"2012","4",14,"Sat"
"500",2012-04-15,"Black","Chihuahua","F","Lost","Soliel",2012-04-15,"2012","4",15,"Sun"
"501",2012-04-16,"Tan/beige","French Bulldog","M","Lost","Rufus",2012-04-16,"2012","4",16,"Mon"
"502",2012-04-16,"Black","Dmh Cat","M/N","Lost","Mogget",2012-04-16,"2012","4",16,"Mon"
"503",2012-04-17,"Grey/brown","Tabby","M/N","Lost","Squid",2012-04-17,"2012","4",17,"Tues"
"504",2012-04-17,"Brindle","Pit Bull","F","Lost","Keisha",2012-04-17,"2012","4",17,"Tues"
"505",2012-04-18,"Brindle","Pit Bull","","Lost","No Name",2012-04-18,"2012","4",18,"Wed"
"506",2012-04-19,"Black","Mixed","F/S","Lost","Georgie",2012-04-19,"2012","4",19,"Thurs"
"507",2012-04-19,"Black & White","Pit Bull","M/N","Lost","Marley",2012-04-19,"2012","4",19,"Thurs"
"508",2012-04-20,"Black/tan/grey","Belgian Shepherd","F/S","Lost","Babe",2012-04-20,"2012","4",20,"Fri"
"509",2012-04-22,"Gray/white With Yellow Head","Cockatiel","M","Lost","No Name",2012-04-22,"2012","4",22,"Sun"
"510",2012-04-15,"Brown","Tabby","M/N","Lost","Squid",2012-04-23,"2012","4",15,"Sun"
"511",2012-04-23,"Tan & White","Chihuahua","M/N","Lost","Stewie",2012-04-23,"2012","4",23,"Mon"
"512",2012-04-21,"Brown","Tabby","M","Lost","Elel",2012-04-23,"2012","4",21,"Sat"
"513",2012-04-24,"White","Pit Bull","F/S","Lost","Rosie",2012-04-24,"2012","4",24,"Tues"
"514",2012-04-24,"Black & White","Shih Tzu","F/S","Lost","Daisey",2012-04-24,"2012","4",24,"Tues"
"515",2012-04-24,"Black & Tan","Chihuahua X Min Pin","F","Lost","Donna",2012-04-24,"2012","4",24,"Tues"
"516",2012-04-25,"Black","Medium Hair","M/N","Lost","Ranmaru",2012-04-25,"2012","4",25,"Wed"
"517",2012-04-26,"White","Bichon","M/N","Matched","Milou",2012-04-26,"2012","4",26,"Thurs"
"518",2012-04-27,"Tan","Chihuahua","M/N","Lost","Budha",2012-04-27,"2012","4",27,"Fri"
"519",2012-04-27,"Black & Brown","Chihuahua/yorkie","M","Matched","Siga",2012-04-27,"2012","4",27,"Fri"
"520",2012-04-27,"Black & White","Chihuahua X","M","Lost","Dino",2012-04-27,"2012","4",27,"Fri"
"521",2012-04-29,"Black & Tan","Chihuahua","M","Lost","No Name",2012-04-29,"2012","4",29,"Sun"
"522",2012-04-30,"Black/white (tuxedo/med Hair)","Cat","M","Lost","Fluffy",2012-04-30,"2012","4",30,"Mon"
"523",2012-04-29,"Orange With White Markings","Dsh Tabby","M/N","Lost","Yogi",2012-05-01,"2012","4",29,"Sun"
"524",2012-04-30,"Brown","Chocolate Lab","M","Matched","Soloman",2012-05-01,"2012","4",30,"Mon"
"525",2012-05-01,"Black & Grey & White","Tabby","M","Lost","Bb",2012-05-01,"2012","5",1,"Tues"
"526",2012-05-01,"Blondish Red","Pittbull Cross Lab","M/N","Lost","Nobu",2012-05-01,"2012","5",1,"Tues"
"527",2012-05-01,"Brown/white/black","Border Collie Cross Beagle","F/S","Matched","Sadie",2012-05-02,"2012","5",1,"Tues"
"528",2012-05-02,"White","Husky","M/N","Matched","Sky",2012-05-02,"2012","5",2,"Wed"
"529",2012-05-03,"Grey & White","Tabby Cat","F","Lost","Shemoe",2012-05-03,"2012","5",3,"Thurs"
"530",2012-05-03,"Dark Grey","Dsh Tabby","M/N","Lost","Faline",2012-05-03,"2012","5",3,"Thurs"
"531",2012-05-03,"Black & Brown","Airedale Terrier","F/S","Lost","Skylark",2012-05-03,"2012","5",3,"Thurs"
"532",2012-05-03,"Tan","Shiba Inu","M","Lost","Kita",2012-05-03,"2012","5",3,"Thurs"
"533",2012-05-05,"Grey","Schnauzer","F","Lost","Kiara",2012-05-06,"2012","5",5,"Sat"
"534",2012-05-06,"Brown","Boston Terrier","M","Lost","Dougie",2012-05-06,"2012","5",6,"Sun"
"535",2012-05-06,"White","Maltese","F","Lost","Sierra",2012-05-06,"2012","5",6,"Sun"
"536",2012-05-08,"Orange Tabby","Cat","M/N","Lost","Twinkey",2012-05-08,"2012","5",8,"Tues"
"537",2012-05-08,"White","Siberian Husky","M","Lost","No Name",2012-05-08,"2012","5",8,"Tues"
"538",2012-05-08,"Brown","Shiba Inu","M","Lost","No Name",2012-05-08,"2012","5",8,"Tues"
"539",2012-05-08,"Tan","Chihuahua","M","Lost","Buster (tag A6294)",2012-05-08,"2012","5",8,"Tues"
"540",2012-05-08,"Black/white On Chest & Paws","Border Collie X","M/N","Matched","Buckwheat",2012-05-08,"2012","5",8,"Tues"
"541",2012-05-08,"Calico","Dsh Cat","F","Lost","No Name",2012-05-09,"2012","5",8,"Tues"
"542",2012-05-09,"Black","Lab","M/N","Matched","Pete",2012-05-09,"2012","5",9,"Wed"
"543",2012-05-09,"Red Sesame","Shiba Inu","M/N","Matched","Duke",2012-05-09,"2012","5",9,"Wed"
"544",2012-05-09,"Sesame Red W/white","Shiba Inu","F/S","Matched","Venus",2012-05-09,"2012","5",9,"Wed"
"545",2012-05-09,"White","Chihuahua","M","Matched","Casper",2012-05-09,"2012","5",9,"Wed"
"546",2012-05-10,"Black & Tan & White","Havanese Mix Yorkie","M/N","Lost","Zack",2012-05-10,"2012","5",10,"Thurs"
"547",2012-05-10,"N/a","Chicken (2)","F","Lost","No Name",2012-05-10,"2012","5",10,"Thurs"
"548",2012-05-10,"White/grey (med Haired)","Dmh - Ragdoll X","F","Lost","No Name",2012-05-10,"2012","5",10,"Thurs"
"549",2012-05-10,"Dark Brown","Rotti X Shepherd","M/N","Matched","Coco",2012-05-10,"2012","5",10,"Thurs"
"550",2012-05-09,"Orange","","","Lost","No Name",2012-05-10,"2012","5",9,"Wed"
"551",2012-05-11,"Tan","Cairn Terrier","M/N","Lost","Bodhi",2012-05-11,"2012","5",11,"Fri"
"552",2012-05-11,"Black & White","Boston Terrier","F/S","Lost","Haley",2012-05-11,"2012","5",11,"Fri"
"553",2012-05-11,"Blonde","Wheaten Terrier","F","Matched","Ruby",2012-05-11,"2012","5",11,"Fri"
"554",2012-05-12,"Brown & White","Beagle","F","Lost","No Name",2012-05-12,"2012","5",12,"Sat"
"555",2012-05-11,"Brown","Richback","M/N","Matched","Milo",2012-05-12,"2012","5",11,"Fri"
"556",2012-05-11,"Brown & White","Boston Terrier","M/N","Lost","Dozer",2012-05-12,"2012","5",11,"Fri"
"557",2012-05-12,"White","Shih Tzu","M","Matched","Buksi",2012-05-12,"2012","5",12,"Sat"
"558",2012-05-11,"Grey","Mainecoon Cat","M/N","Lost","Prince",2012-05-12,"2012","5",11,"Fri"
"559",2012-05-04,"White","Shih Tzu","F","Lost","Kulka (koolka)",2012-05-13,"2012","5",4,"Fri"
"560",2012-05-13,"Golden","Pit Bull X","M/N","Lost","Eddie",2012-05-13,"2012","5",13,"Sun"
"561",2012-05-13,"Yellow","Yellow Lab","X","Lost","Bella",2012-05-13,"2012","5",13,"Sun"
"562",2012-05-13,"White And Gold Mix","Golden Retriever","X","Lost","Hunter",2012-05-13,"2012","5",13,"Sun"
"563",2012-05-13,"Brown Tabby","Dlh Cat","F/S","Lost","Fluffy",2012-05-14,"2012","5",13,"Sun"
"564",2012-05-14,"White/black W/brown On Face","Jack Russel Terrier","F/S","Lost","Athena",2012-05-14,"2012","5",14,"Mon"
"565",2012-05-12,"Black & White","Fluffy Dc","M/N","Lost","Amos",2012-05-15,"2012","5",12,"Sat"
"566",2012-05-09,"Black & Brown","Tortoise Shell","F","Lost","Sephen",2012-05-15,"2012","5",9,"Wed"
"567",2012-05-15,"White/black/brown","Yorkie Terrier","M","Lost","Bert",2012-05-15,"2012","5",15,"Tues"
"568",2012-05-15,"Brown","Chihuahua","M","Lost","Buster",2012-05-15,"2012","5",15,"Tues"
"569",2012-05-16,"?","Mixed X Shepherd","F","Lost","No Name",2012-05-16,"2012","5",16,"Wed"
"570",2012-05-16,"Black/tan/brown","Pug","X","Lost","Fluffy",2012-05-16,"2012","5",16,"Wed"
"571",2012-05-16,"Black","Norwegian","","Lost","No Name",2012-05-16,"2012","5",16,"Wed"
"572",2012-05-13,"Black","Dsh","M","Lost","Musashi",2012-05-17,"2012","5",13,"Sun"
"573",2012-05-17,"Black/ W Brown Spotting","Husky X Shepherd","M/N","Matched","Cooper",2012-05-17,"2012","5",17,"Thurs"
"574",2012-05-10,"Brown","Dsh Tabby","F/S","Lost","Meepa",2012-05-17,"2012","5",10,"Thurs"
"575",2012-05-17,"Gold","Golden Retreiver","F/S","Matched","Skittles",2012-05-17,"2012","5",17,"Thurs"
"576",2012-05-17,"Black & Tan","Lab/shep","M","Lost","Frankly",2012-05-17,"2012","5",17,"Thurs"
"577",2012-05-18,"Black & Brown","Chihuahua/yorkie","M","Matched","Siga",2012-05-18,"2012","5",18,"Fri"
"578",2012-05-04,"Tan","Lab","M","Lost","Dragan",2012-05-18,"2012","5",4,"Fri"
"579",2012-05-17,"Black","Dsh","M/N","Lost","Bear",2012-05-18,"2012","5",17,"Thurs"
"580",2012-05-18,"Gray","Malumute Husky","M/N","Lost","Ace",2012-05-18,"2012","5",18,"Fri"
"581",2012-05-19,"Black","Pug X","M/N","Matched","Francois",2012-05-19,"2012","5",19,"Sat"
"582",2012-05-14,"Brown Tabby & White","Sdc","M/N","Lost","George",2012-05-20,"2012","5",14,"Mon"
"583",2012-05-22,"Tan ( Skin Black )","Toy Pom","M","Lost","Diesel",2012-05-22,"2012","5",22,"Tues"
"584",2012-05-22,"Golden Brown","Daschund X Terrier","M/N","Matched","Apollo",2012-05-22,"2012","5",22,"Tues"
"585",2012-05-22,"Beige/ Blonde","Dascund Mix","M/N","Matched","Apollo",2012-05-22,"2012","5",22,"Tues"
"586",2012-05-18,"White","American Eskimo","F/S","Lost","Sassy",2012-05-22,"2012","5",18,"Fri"
"587",2012-05-22,"Tan","Lab/ridgeback","M","Matched","Tucker",2012-05-22,"2012","5",22,"Tues"
"588",2012-05-18,"Dilicalico","Dsh","F/S","Lost","My Kitty",2012-05-22,"2012","5",18,"Fri"
"589",2012-05-22,"Tan & White","Rough Collie","F/S","Lost","Aja",2012-05-22,"2012","5",22,"Tues"
"590",2012-05-23,"Black","Dmh","M/N","Lost","Marvin",2012-05-23,"2012","5",23,"Wed"
"591",2012-05-23,"White","Shih Tzu","M/N","Matched","Bamby",2012-05-23,"2012","5",23,"Wed"
"592",2012-05-23,"White","Schnauzer X","F/S","Lost","Bo",2012-05-23,"2012","5",23,"Wed"
"593",2012-05-24,"Reddish Brown","Long Haired Dachshund","M","Matched","Finnigan",2012-05-24,"2012","5",24,"Thurs"
"594",2012-05-12,"Brown/white/ Grey","Dsh","M/N","Lost","Bubs",2012-05-25,"2012","5",12,"Sat"
"595",2012-05-25,"Brown","Miniature Pincher","M","Matched","Kane",2012-05-25,"2012","5",25,"Fri"
"596",2012-05-25,"Golden","Mix Basenji","F/S","Lost","Manu",2012-05-25,"2012","5",25,"Fri"
"597",2012-05-25,"Tan/brown","Yorkshire Terrier","M","Lost","Rocky",2012-05-25,"2012","5",25,"Fri"
"598",2012-05-26,"White/black","Chihuahua X","F","Lost","Lily",2012-05-26,"2012","5",26,"Sat"
"599",2012-05-25,"White/tan","Shih Tzu","M","Lost","Mocha",2012-05-26,"2012","5",25,"Fri"
"600",2012-05-25,"Black/white/tan","Blue Heeler X","F/S","Lost","Mika",2012-05-26,"2012","5",25,"Fri"
"601",2012-05-27,"Light Brown/white","Jack Russel X Terrier","M/N","Lost","Jack",2012-05-27,"2012","5",27,"Sun"
"602",2012-05-27,"Black & White","Shitzu X Yorkie","M/N","Matched","Timmy",2012-05-27,"2012","5",27,"Sun"
"603",2012-05-27,"White","Pittbull","M","Lost","Zues",2012-05-27,"2012","5",27,"Sun"
"604",2012-05-27,"Tan/brown","Pit Bull X","F/S","Lost","Athena",2012-05-27,"2012","5",27,"Sun"
"605",2012-05-27,"Black & White","Pekingese","X","Lost","Bella Or Pinky",2012-05-27,"2012","5",27,"Sun"
"606",2012-05-28,"Light Yellow","Golden Retriver","M/N","Matched","Tum Tum",2012-05-28,"2012","5",28,"Mon"
"607",2012-05-28,"Dark Grey","Dlh Tabby","F/S","Lost","Trooper",2012-05-28,"2012","5",28,"Mon"
"608",2012-05-28,"Sandy","Between Toy & Med Sized Poodle","M/N","Matched","Yugi",2012-05-28,"2012","5",28,"Mon"
"609",2012-05-29,"Brown & White","Shih Tzu","M/N","Matched","Lang Jie",2012-05-29,"2012","5",29,"Tues"
"610",2012-05-29,"White","Dmh - Cat (ragdoll Hem X)","X","Lost","Elliott",2012-05-29,"2012","5",29,"Tues"
"611",2012-05-29,"Brindle & White","Pitbullx Terrier","F/S","Matched","Kali",2012-05-29,"2012","5",29,"Tues"
"612",2012-05-28,"Brown & White","Dlh Cat","F/S","Lost","Ayna",2012-05-30,"2012","5",28,"Mon"
"613",2012-05-30,"Brown/grey","Tabby Cat","M/N","Matched","Mao",2012-05-30,"2012","5",30,"Wed"
"614",2012-05-30,"White","Cdn Eskimo","M","Lost","Kimic",2012-05-30,"2012","5",30,"Wed"
"615",2012-06-01,"","Dsh","X","Lost","No Name",2012-06-01,"2012","6",1,"Fri"
"616",2012-06-02,"White","Full Sized","M","Lost","Bronx",2012-06-02,"2012","6",2,"Sat"
"617",2012-06-02,"Red/brown W/ White Face/socks","Pit Bull","F","Lost","Ditto Collar With Tags",2012-06-02,"2012","6",2,"Sat"
"618",2012-06-02,"Grey","Pit Bull","M","Lost","Blue",2012-06-02,"2012","6",2,"Sat"
"619",2012-06-02,"Grey","Congo African Grey","X","Matched","No Name",2012-06-02,"2012","6",2,"Sat"
"620",2012-06-03,"White","Bishon X","F","Matched","Ollie",2012-06-03,"2012","6",3,"Sun"
"621",2012-06-02,"Tan/chestnut Red/white","Beagle X","M/N","Matched","Koda",2012-06-03,"2012","6",2,"Sat"
"622",2012-06-03,"Tri Colour","Maltese X","F","Matched","Gucci",2012-06-03,"2012","6",3,"Sun"
"623",2012-05-30,"Black & White","Dsc","M/N","Lost","Puss",2012-06-04,"2012","5",30,"Wed"
"624",2012-06-01,"Black","Dsc","F/S","Lost","Wicca",2012-06-04,"2012","6",1,"Fri"
"625",2012-06-04,"Orange","Pekingese X Yorkie","F/S","Matched","Molly",2012-06-04,"2012","6",4,"Mon"
"626",2012-06-04,"Grey Calico","Dsh Cat","F","Lost","Mimzy",2012-06-04,"2012","6",4,"Mon"
"627",2012-06-03,"Grey/ Blue Seal","Dsh","M/N","Lost","Willow",2012-06-04,"2012","6",3,"Sun"
"628",2012-05-21,"Black & White","Dsh Cat","M/N","Lost","Jett",2012-06-05,"2012","5",21,"Mon"
"629",2012-06-05,"Black & Brown","Rottie/chow X","M","Matched","Rukkus",2012-06-05,"2012","6",5,"Tues"
"630",2012-06-05,"Blue","Pit Bull","M","Matched","Drizzle",2012-06-05,"2012","6",5,"Tues"
"631",2012-06-05,"Brown/brindle W/white Spots","Pit Bull","F","Matched","Diddo",2012-06-05,"2012","6",5,"Tues"
"632",2012-06-05,"Light Brown","German Shepherd X - Puppy","","Lost","No Name",2012-06-05,"2012","6",5,"Tues"
"633",2012-06-05,"Calico","Dmh","F/S","Lost","Lily",2012-06-05,"2012","6",5,"Tues"
"634",2012-06-05,"White","Westy Terrier","F/S","Lost","Maggie",2012-06-05,"2012","6",5,"Tues"
"635",2012-06-06,"Black","Dsh","M/N","Lost","Blackie",2012-06-06,"2012","6",6,"Wed"
"636",2012-06-07,"Beige/black","Dsh","F/S","Lost","Mindy",2012-06-07,"2012","6",7,"Thurs"
"637",2012-06-07,"Brown","Pomeranian","M","Lost","Didi",2012-06-07,"2012","6",7,"Thurs"
"638",2012-06-07,"White/black/grey","Tabby","F","Found","Jessie",2012-06-07,"2012","6",7,"Thurs"
"639",2012-06-07,"Cream/apricot","Labradoodle","M/N","Lost","Kasey",2012-06-07,"2012","6",7,"Thurs"
"640",2012-06-07,"Golden","Golden Doodle","F","Lost","Sophie",2012-06-07,"2012","6",7,"Thurs"
"641",2012-06-08,"Light Brown","Mastiff/german Shepard Mix","M","Lost","Bleu",2012-06-08,"2012","6",8,"Fri"
"642",2012-06-08,"Black/grey","Flat Coat Retriever","M/N","Lost","Cody",2012-06-08,"2012","6",8,"Fri"
"643",2012-06-09,"Black & Tan","Rotty X Lab","F","Lost","No Name",2012-06-09,"2012","6",9,"Sat"
"644",2012-06-10,"Striped Multi Colored","Dsh","F","Matched","Leena",2012-06-10,"2012","6",10,"Sun"
"645",2012-06-04,"Grey","Dsh","M","Lost","Kitty",2012-06-11,"2012","6",4,"Mon"
"646",2012-06-10,"Orange","Dlh Tabby","M/N","Lost","Cheeto",2012-06-11,"2012","6",10,"Sun"
"647",2012-06-11,"Black","Lab","F/S","Lost","Cedar",2012-06-11,"2012","6",11,"Mon"
"648",2012-06-11,"Charcoal Grey","Dsh (russian Blue) Cat","M/N","Lost","Scout",2012-06-12,"2012","6",11,"Mon"
"649",2012-06-13,"Black & Tan","Akita X","F/S","Matched","Silver",2012-06-13,"2012","6",13,"Wed"
"650",2012-06-13,"Grey W/ Chunk Of White","Dsh Cat","F/S","Lost","Dandelion",2012-06-13,"2012","6",13,"Wed"
"651",2012-06-14,"Black & Silver","Husky X Shepherd","M/N","Lost","Buddy",2012-06-14,"2012","6",14,"Thurs"
"652",2012-06-14,"Black & Brown","German Shepherd","F/S","Matched","Lucy",2012-06-14,"2012","6",14,"Thurs"
"653",2012-06-14,"White W/dark Marking Face&back","Dmh","M/N","Lost","Mo",2012-06-14,"2012","6",14,"Thurs"
"654",2012-06-14,"Tortishell W/white Paws","Dsh","F/S","Lost","Dj",2012-06-14,"2012","6",14,"Thurs"
"655",2012-06-15,"Russian Blue","Dmh","M/N","Lost","Number 9",2012-06-15,"2012","6",15,"Fri"
"656",2012-06-15,"Orange","Dsh","M/N","Lost","Mario",2012-06-15,"2012","6",15,"Fri"
"657",2012-06-15,"Hairless Cat","Sphynx","M/N","Lost","Cairo",2012-06-15,"2012","6",15,"Fri"
"658",2012-06-15,"Black","Dsh","M","Lost","Grosmine",2012-06-15,"2012","6",15,"Fri"
"659",2012-06-15,"Mostly Black With Grey","Flat Coat Retriever","M/N","Lost","Cody",2012-06-15,"2012","6",15,"Fri"
"660",2012-06-15,"Grey/orange","Bengal","F/S","Lost","Emma",2012-06-15,"2012","6",15,"Fri"
"661",2012-06-15,"Black & White","Bordie Collie X Dutch Shepperd","F/S","Lost","Jesse",2012-06-15,"2012","6",15,"Fri"
"662",2012-06-16,"All Black","Dsh","F/S","Lost","Mercury",2012-06-16,"2012","6",16,"Sat"
"663",2012-06-16,"Brown & Black Tortoise Shell","Dsh","F/S","Lost","Blackie",2012-06-16,"2012","6",16,"Sat"
"664",2012-06-16,"Calico Colours","Dsh Tabby","F/S","Lost","Mittens",2012-06-16,"2012","6",16,"Sat"
"665",2012-06-17,"Golden","Husky X","M/N","Matched","Indo",2012-06-17,"2012","6",17,"Sun"
"666",2012-06-17,"White","Maltise","M","Matched","Milo",2012-06-17,"2012","6",17,"Sun"
"667",2012-06-18,"Blonde","Chihuahua","F/S","Lost","Nala",2012-06-18,"2012","6",18,"Mon"
"668",2012-06-18,"Red & Brown","Toy Poodle","M","Lost","Lai Pi",2012-06-18,"2012","6",18,"Mon"
"669",2012-06-19,"Tabby (black/tan/grey)","Dsh","M","Lost","Slash",2012-06-19,"2012","6",19,"Tues"
"670",2012-06-19,"Black & White","Dsh","M/N","Lost","Sneakers",2012-06-19,"2012","6",19,"Tues"
"671",2012-06-20,"Yellow","Lab","F/S","Matched","Bella",2012-06-20,"2012","6",20,"Wed"
"672",2012-06-20,"Brown/grey/white/black","Dlh Tabby","M/N","Matched","Fritzy",2012-06-20,"2012","6",20,"Wed"
"673",2012-06-20,"Tan & White","Pit Bull","F/S","Lost","Diva",2012-06-20,"2012","6",20,"Wed"
"674",2012-06-19,"Tan","Chuhuahua X","M","Lost","Mason",2012-06-20,"2012","6",19,"Tues"
"675",2012-06-21,"Brown/caramel","Dezi (india Street Dog)","F/S","Matched","Tika",2012-06-21,"2012","6",21,"Thurs"
"676",2012-06-22,"Black","Chihuahua","F/S","Lost","Tubbie",2012-06-22,"2012","6",22,"Fri"
"677",2012-06-22,"Black","Shepherd","F","Lost","Lulu",2012-06-22,"2012","6",22,"Fri"
"678",2012-06-23,"Black & White","Husky","M/N","Matched","Atkis",2012-06-23,"2012","6",23,"Sat"
"679",2012-06-23,"Brown Tabby Color","Tabby","M/N","Matched","Pete",2012-06-23,"2012","6",23,"Sat"
"680",2012-06-24,"Black & Brown","Min Pin","M","Lost","No Name",2012-06-24,"2012","6",24,"Sun"
"681",2012-06-22,"Orange","Dlh Tabby","M","Lost","Rosko",2012-06-24,"2012","6",22,"Fri"
"682",2012-06-24,"Brown & White","Miniature Staffie","F","Matched","Keeko",2012-06-24,"2012","6",24,"Sun"
"683",2012-06-25,"Black & White","Dsh","M/N","Lost","Lentil",2012-06-25,"2012","6",25,"Mon"
"684",2012-06-25,"Brown & White","Beagle","M/N","Lost","Toby",2012-06-25,"2012","6",25,"Mon"
"685",2012-06-25,"Red","Mini Pincher/ Chihuahua","F/S","Lost","Rue",2012-06-25,"2012","6",25,"Mon"
"686",2012-06-25,"Apricot/red","Toy Poodle","M","Lost","Pippin",2012-06-25,"2012","6",25,"Mon"
"687",2012-06-25,"Black & White","Husky","M/N","Lost","Atkis",2012-06-25,"2012","6",25,"Mon"
"688",2012-06-26,"Orange/black (not Calico)  L/h","Dsh Cat","F","Lost","Camilla",2012-06-26,"2012","6",26,"Tues"
"689",2012-06-26,"Calico","Dsh","F/S","Lost","No Name",2012-06-26,"2012","6",26,"Tues"
"690",2012-06-26,"Tortise Shell","Dmh","F/S","Lost","No Name",2012-06-26,"2012","6",26,"Tues"
"691",2012-06-26,"Black & Tan","Yorkshire Terrier","M/N","Matched","Mason",2012-06-26,"2012","6",26,"Tues"
"692",2012-06-27,"Brown & White","German Short Haired Pointer","M/N","Lost","Butch",2012-06-27,"2012","6",27,"Wed"
"693",2012-06-27,"Black W/white On Paw /chest","Border Collie X Blue Heeler","F/S","Matched","Chloe",2012-06-28,"2012","6",27,"Wed"
"694",2012-06-28,"Chocolate","Lab","M/N","Matched","Sev",2012-06-28,"2012","6",28,"Thurs"
"695",2012-06-28,"Black & Tan","Malanois","M","Matched","Hades",2012-06-28,"2012","6",28,"Thurs"
"696",2012-06-24,"Black & Brown","Dmh Cat","M/N","Lost","Milton",2012-06-28,"2012","6",24,"Sun"
"697",2012-06-28,"White -brn Patch On Left Eye","Jack Russell X","X","Lost","Steve",2012-06-28,"2012","6",28,"Thurs"
"698",2012-06-28,"Black, Bit Of Brown","Rott/lab","M/N","Lost","Dorbo",2012-06-28,"2012","6",28,"Thurs"
"699",2012-06-28,"White","Maltese","M","Lost","Dobby",2012-06-29,"2012","6",28,"Thurs"
"700",2012-06-23,"Dark Tan & White","Bernese Mountain Dog","F","Lost","Rainey",2012-06-29,"2012","6",23,"Sat"
"701",2012-06-29,"Black","English Black Lab","M/N","Lost","Rejii",2012-06-29,"2012","6",29,"Fri"
"702",2012-07-01,"Brindle","Bordie Collie Pitbull Cross","F","Matched","Brynn",2012-07-01,"2012","7",1,"Sun"
"703",2012-01-02,"Black & Tan","Yorkshire Terrier","M","Matched","Blaze",2012-07-02,"2012","1",2,"Mon"
"704",2012-07-02,"Black, White On Chest &paws","Labx","","Lost","Bruiser",2012-07-02,"2012","7",2,"Mon"
"705",2012-07-03,"Tan, White Paws","American Staffordshire","M","Lost","Rolex",2012-07-03,"2012","7",3,"Tues"
"706",2012-07-03,"White","Havanese X","M","Lost","Occi",2012-07-03,"2012","7",3,"Tues"
"707",2012-07-03,"Black W/tan Markings","Chihuahua","M","Lost","Tiko",2012-07-03,"2012","7",3,"Tues"
"708",2012-07-01,"Tan","Dsh Cat","F/S","Lost","Lillith",2012-07-03,"2012","7",1,"Sun"
"709",2012-07-03,"Black Sh","Dsh Cat","F/S","Lost","Mimi",2012-07-03,"2012","7",3,"Tues"
"710",2012-07-03,"Black","Chi/jrt X","F","Lost","Roxy",2012-07-04,"2012","7",3,"Tues"
"711",2012-07-04,"Red","Sharpei","","Matched","No Name",2012-07-05,"2012","7",4,"Wed"
"712",2012-06-01,"White","Maltese","M","Lost","Bubble",2012-07-06,"2012","6",1,"Fri"
"713",2012-07-06,"Chocolate Brown","Labrador","M","Lost","Reese",2012-07-07,"2012","7",6,"Fri"
"714",2012-07-06,"Dark Golden","Golden Retriever","M","Lost","Charlie",2012-07-07,"2012","7",6,"Fri"
"715",2012-07-07,"White","Poodle","M/N","Lost","Jasper",2012-07-07,"2012","7",7,"Sat"
"716",2012-07-07,"Yellow","Lab","F","Lost","Oakie",2012-07-07,"2012","7",7,"Sat"
"717",2012-07-06,"Orange","Dsh Cat","F","Lost","Maggie",2012-07-08,"2012","7",6,"Fri"
"718",2012-07-08,"Chocolate","Lab","M/N","Matched","No Name",2012-07-08,"2012","7",8,"Sun"
"719",2012-07-05,"Black","Dsh Cat","F","Lost","Nala",2012-07-08,"2012","7",5,"Thurs"
"720",2012-07-08,"Brown","Yorkie","F","Lost","Dolce",2012-07-08,"2012","7",8,"Sun"
"721",2012-07-09,"Cream And Brown","Dsh (siamese)","F","Lost","Pandora",2012-07-10,"2012","7",9,"Mon"
"722",2012-07-09,"Tan & White","Chihuahua","M","Lost","Flee",2012-07-10,"2012","7",9,"Mon"
"723",2012-07-05,"Black/white W/green Eyes","Dsh","M/N","Lost","No Name",2012-07-11,"2012","7",5,"Thurs"
"724",2012-07-11,"Sable","Sheltie","M/N","Matched","Pag",2012-07-12,"2012","7",11,"Wed"
"725",2012-07-10,"Black & White","Terrier X","F/S","Lost","No Name",2012-07-12,"2012","7",10,"Tues"
"726",2012-07-12,"Ginger/white","Dmh Cat","M/N","Lost","Leo",2012-07-12,"2012","7",12,"Thurs"
"727",2012-07-12,"Orange & White","Pomeranian","M","Lost","Simba",2012-07-12,"2012","7",12,"Thurs"
"728",2012-07-13,"Brown/grey","Purebred Yorkshire Terrier","F/S","Matched","Rebecca Lynn",2012-07-13,"2012","7",13,"Fri"
"729",2012-07-14,"Black & Tan","German Shep X","M/N","Matched","Jake",2012-07-14,"2012","7",14,"Sat"
"730",2012-07-13,"Gold","Maltipoo","M","Lost","Paddy",2012-07-14,"2012","7",13,"Fri"
